date key,full date,day of week,day num in month,day num overall,day name,day abbrev,weekday flag,week num in year,week num overall,week begin date,week begin date key,month,month num overall,month name,month abbrev,quarter,year,yearmo,fiscal month,fiscal quarter,fiscal year,month end flag,same day year ago
20130101,01/01/2013,2,1,1,Tuesday,Tue,Weekday,1,1,31/12/2012,20121231,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,01/01/2012
20130102,02/01/2013,3,2,2,Wednesday,Wed,Weekday,1,1,31/12/2012,20121231,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,02/01/2012
20130103,03/01/2013,4,3,3,Thursday,Thu,Weekday,1,1,31/12/2012,20121231,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,03/01/2012
20130104,04/01/2013,5,4,4,Friday,Fri,Weekday,1,1,31/12/2012,20121231,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,04/01/2012
20130105,05/01/2013,6,5,5,Saturday,Sat,Weekend,1,1,31/12/2012,20121231,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,05/01/2012
20130106,06/01/2013,7,6,6,Sunday,Sun,Weekend,1,1,31/12/2012,20121231,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,06/01/2012
20130107,07/01/2013,1,7,7,Monday,Mon,Weekday,2,2,07/01/2013,20130107,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,07/01/2012
20130108,08/01/2013,2,8,8,Tuesday,Tue,Weekday,2,2,07/01/2013,20130107,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,08/01/2012
20130109,09/01/2013,3,9,9,Wednesday,Wed,Weekday,2,2,07/01/2013,20130107,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,09/01/2012
20130110,10/01/2013,4,10,10,Thursday,Thu,Weekday,2,2,07/01/2013,20130107,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,10/01/2012
20130111,11/01/2013,5,11,11,Friday,Fri,Weekday,2,2,07/01/2013,20130107,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,11/01/2012
20130112,12/01/2013,6,12,12,Saturday,Sat,Weekend,2,2,07/01/2013,20130107,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,12/01/2012
20130113,13/01/2013,7,13,13,Sunday,Sun,Weekend,2,2,07/01/2013,20130107,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,13/01/2012
20130114,14/01/2013,1,14,14,Monday,Mon,Weekday,3,3,14/01/2013,20130114,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,14/01/2012
20130115,15/01/2013,2,15,15,Tuesday,Tue,Weekday,3,3,14/01/2013,20130114,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,15/01/2012
20130116,16/01/2013,3,16,16,Wednesday,Wed,Weekday,3,3,14/01/2013,20130114,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,16/01/2012
20130117,17/01/2013,4,17,17,Thursday,Thu,Weekday,3,3,14/01/2013,20130114,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,17/01/2012
20130118,18/01/2013,5,18,18,Friday,Fri,Weekday,3,3,14/01/2013,20130114,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,18/01/2012
20130119,19/01/2013,6,19,19,Saturday,Sat,Weekend,3,3,14/01/2013,20130114,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,19/01/2012
20130120,20/01/2013,7,20,20,Sunday,Sun,Weekend,3,3,14/01/2013,20130114,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,20/01/2012
20130121,21/01/2013,1,21,21,Monday,Mon,Weekday,4,4,21/01/2013,20130121,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,21/01/2012
20130122,22/01/2013,2,22,22,Tuesday,Tue,Weekday,4,4,21/01/2013,20130121,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,22/01/2012
20130123,23/01/2013,3,23,23,Wednesday,Wed,Weekday,4,4,21/01/2013,20130121,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,23/01/2012
20130124,24/01/2013,4,24,24,Thursday,Thu,Weekday,4,4,21/01/2013,20130121,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,24/01/2012
20130125,25/01/2013,5,25,25,Friday,Fri,Weekday,4,4,21/01/2013,20130121,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,25/01/2012
20130126,26/01/2013,6,26,26,Saturday,Sat,Weekend,4,4,21/01/2013,20130121,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,26/01/2012
20130127,27/01/2013,7,27,27,Sunday,Sun,Weekend,4,4,21/01/2013,20130121,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,27/01/2012
20130128,28/01/2013,1,28,28,Monday,Mon,Weekday,5,5,28/01/2013,20130128,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,28/01/2012
20130129,29/01/2013,2,29,29,Tuesday,Tue,Weekday,5,5,28/01/2013,20130128,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,29/01/2012
20130130,30/01/2013,3,30,30,Wednesday,Wed,Weekday,5,5,28/01/2013,20130128,1,1,January,Jan,1,2013,201301,7,3,2013,Not Month End,30/01/2012
20130131,31/01/2013,4,31,31,Thursday,Thu,Weekday,5,5,28/01/2013,20130128,1,1,January,Jan,1,2013,201301,7,3,2013,Month End,31/01/2012
20130201,01/02/2013,5,1,32,Friday,Fri,Weekday,5,5,28/01/2013,20130128,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,01/02/2012
20130202,02/02/2013,6,2,33,Saturday,Sat,Weekend,5,5,28/01/2013,20130128,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,02/02/2012
20130203,03/02/2013,7,3,34,Sunday,Sun,Weekend,5,5,28/01/2013,20130128,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,03/02/2012
20130204,04/02/2013,1,4,35,Monday,Mon,Weekday,6,6,04/02/2013,20130204,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,04/02/2012
20130205,05/02/2013,2,5,36,Tuesday,Tue,Weekday,6,6,04/02/2013,20130204,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,05/02/2012
20130206,06/02/2013,3,6,37,Wednesday,Wed,Weekday,6,6,04/02/2013,20130204,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,06/02/2012
20130207,07/02/2013,4,7,38,Thursday,Thu,Weekday,6,6,04/02/2013,20130204,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,07/02/2012
20130208,08/02/2013,5,8,39,Friday,Fri,Weekday,6,6,04/02/2013,20130204,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,08/02/2012
20130209,09/02/2013,6,9,40,Saturday,Sat,Weekend,6,6,04/02/2013,20130204,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,09/02/2012
20130210,10/02/2013,7,10,41,Sunday,Sun,Weekend,6,6,04/02/2013,20130204,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,10/02/2012
20130211,11/02/2013,1,11,42,Monday,Mon,Weekday,7,7,11/02/2013,20130211,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,11/02/2012
20130212,12/02/2013,2,12,43,Tuesday,Tue,Weekday,7,7,11/02/2013,20130211,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,12/02/2012
20130213,13/02/2013,3,13,44,Wednesday,Wed,Weekday,7,7,11/02/2013,20130211,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,13/02/2012
20130214,14/02/2013,4,14,45,Thursday,Thu,Weekday,7,7,11/02/2013,20130211,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,14/02/2012
20130215,15/02/2013,5,15,46,Friday,Fri,Weekday,7,7,11/02/2013,20130211,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,15/02/2012
20130216,16/02/2013,6,16,47,Saturday,Sat,Weekend,7,7,11/02/2013,20130211,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,16/02/2012
20130217,17/02/2013,7,17,48,Sunday,Sun,Weekend,7,7,11/02/2013,20130211,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,17/02/2012
20130218,18/02/2013,1,18,49,Monday,Mon,Weekday,8,8,18/02/2013,20130218,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,18/02/2012
20130219,19/02/2013,2,19,50,Tuesday,Tue,Weekday,8,8,18/02/2013,20130218,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,19/02/2012
20130220,20/02/2013,3,20,51,Wednesday,Wed,Weekday,8,8,18/02/2013,20130218,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,20/02/2012
20130221,21/02/2013,4,21,52,Thursday,Thu,Weekday,8,8,18/02/2013,20130218,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,21/02/2012
20130222,22/02/2013,5,22,53,Friday,Fri,Weekday,8,8,18/02/2013,20130218,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,22/02/2012
20130223,23/02/2013,6,23,54,Saturday,Sat,Weekend,8,8,18/02/2013,20130218,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,23/02/2012
20130224,24/02/2013,7,24,55,Sunday,Sun,Weekend,8,8,18/02/2013,20130218,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,24/02/2012
20130225,25/02/2013,1,25,56,Monday,Mon,Weekday,9,9,25/02/2013,20130225,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,25/02/2012
20130226,26/02/2013,2,26,57,Tuesday,Tue,Weekday,9,9,25/02/2013,20130225,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,26/02/2012
20130227,27/02/2013,3,27,58,Wednesday,Wed,Weekday,9,9,25/02/2013,20130225,2,2,February,Feb,1,2013,201302,8,3,2013,Not Month End,27/02/2012
20130228,28/02/2013,4,28,59,Thursday,Thu,Weekday,9,9,25/02/2013,20130225,2,2,February,Feb,1,2013,201302,8,3,2013,Month End,28/02/2012
20130301,01/03/2013,5,1,60,Friday,Fri,Weekday,9,9,25/02/2013,20130225,3,3,March,Mar,1,2013,201303,9,3,2013,Not Month End,01/03/2012
20130302,02/03/2013,6,2,61,Saturday,Sat,Weekend,9,9,25/02/2013,20130225,3,3,March,Mar,1,2013,201303,9,3,2013,Not Month End,02/03/2012
20130303,03/03/2013,7,3,62,Sunday,Sun,Weekend,9,9,25/02/2013,20130225,3,3,March,Mar,1,2013,201303,9,3,2013,Not Month End,03/03/2012
20130304,04/03/2013,1,4,63,Monday,Mon,Weekday,10,10,04/03/2013,20130304,3,3,March,Mar,1,2013,201303,9,3,2013,Not Month End,04/03/2012
20130305,05/03/2013,2,5,64,Tuesday,Tue,Weekday,10,10,04/03/2013,20130304,3,3,March,Mar,1,2013,201303,9,3,2013,Not Month End,05/03/2012
20130306,06/03/2013,3,6,65,Wednesday,Wed,Weekday,10,10,04/03/2013,20130304,3,3,March,Mar,1,2013,201303,9,3,2013,Not Month End,06/03/2012
20130307,07/03/2013,4,7,66,Thursday,Thu,Weekday,10,10,04/03/2013,20130304,3,3,March,Mar,1,2013,201303,9,3,2013,Not Month End,07/03/2012
20130308,08/03/2013,5,8,67,Friday,Fri,Weekday,10,10,04/03/2013,20130304,3,3,March,Mar,1,2013,201303,9,3,2013,Not Month End,08/03/2012
