transaction_item_id,transaction_id,product_id,promotion_id,sales_quantity,regular_unit_price,discount_unit_price
1,1,19,,6,33.62,0
2,1,115,2,4,20.53,0.53
3,2,178,,4,27.34,0
4,2,15,22,1,39.63,7.44
5,2,144,,5,12.67,0
6,3,60,,4,31.09,0
7,3,99,,1,3.97,0
8,3,87,17,3,55.94,11.34
9,3,151,,1,13.04,0
10,4,50,,3,56.48,0
11,4,108,5,1,4.36,0.81
12,4,16,,6,25.04,0
13,4,194,,2,29.17,0
14,4,38,1,5,1.43,0.26
15,5,169,,5,14.86,0
16,5,14,30,2,6.38,0.37
17,5,18,,4,23.31,0
18,5,154,,3,25.25,0
19,5,158,29,1,40.0,3.94
20,6,57,,4,33.54,0
21,6,160,,3,25.13,0
22,6,190,,1,10.03,0
23,6,93,,2,20.69,0
24,7,113,,1,34.1,0
25,7,8,9,6,5.82,0.5
26,7,45,1,2,50.53,8.41
27,8,26,26,1,4.19,0.85
28,8,87,26,3,65.14,5.96
29,8,170,,5,28.34,0
30,9,183,,2,20.53,0
31,9,50,14,6,45.92,9.57
32,9,63,,5,3.3,0
33,9,76,,2,53.83,0
34,10,150,16,6,7.8,0.49
35,10,158,,6,33.21,0
36,10,193,,3,9.69,0
37,10,183,,4,26.04,0
38,10,122,,5,26.65,0
39,11,54,,4,46.04,0
40,12,79,27,3,16.33,1.85
41,99999,66,15,5,10.78,0.43
42,13,59,,4,15.35,0
43,13,116,,3,22.65,0
44,13,70,21,1,43.37,2.34
45,14,22,,1,29.7,0
46,14,71,2,5,37.26,1.1
47,14,52,24,6,31.2,6.32
48,15,49,,6,20.18,0
49,15,190,,3,11.18,0
50,15,89,,5,7.14,0
51,16,121,,4,21.83,0
52,17,59,19,5,16.63,1.05
53,17,194,3,3,31.42,7.68
54,18,110,15,5,60.7,12.71
55,18,8,24,1,6.61,1.15
56,19,169,,6,16.18,0
57,19,193,,3,9.05,0
58,19,151,,2,11.31,0
59,19,85,,5,27.41,0
60,20,98,,2,6.55,0
61,20,9999,,3,23.5,0
62,20,24,27,6,9.82,1.99
63,20,155,13,3,29.14,1.63
64,21,60,,3,21.94,0
65,21,133,,4,25.27,0
66,22,29,,4,6.61,0
67,22,53,,6,11.15,0
68,23,41,,6,59.56,0
69,23,118,3,4,7.58,0.02
70,23,155,,4,35.06,0
71,23,118,21,4,8.63,0.1
72,24,180,27,2,45.16,10.73
73,24,107,,4,19.49,0
74,24,99,,4,5.12,0
75,25,62,,5,52.73,0
76,26,171,,2,64.79,0
77,26,127,12,1,34.08,7.79
78,26,194,15,2,24.06,5.53
79,27,54,23,6,56.17,7.79
80,27,192,7,4,16.43,1.69
81,27,10,9999,3,1.44,0
82,28,125,,6,19.72,0
83,28,113,,2,32.66,0
84,28,5,24,4,39.37,2.09
85,28,44,,2,19.7,0
86,29,92,,5,43.77,0
87,29,56,,5,50.43,0
88,29,165,23,3,35.74,7.08
89,29,114,,2,14.81,0
90,30,96,1,1,58.18,3.49
91,30,87,29,1,61.41,12.53
92,31,186,11,3,27.4,3.42
93,31,144,,4,19.08,0
94,32,31,1,4,34.39,1.09
95,32,168,,1,15.75,0
96,32,169,3,2,16.02,3.12
97,32,106,,1,27.1,0
98,33,146,,6,31.39,0
99,33,179,,2,9.66,0
100,33,86,,6,16.72,0
101,33,124,,-4,15.81,0
102,33,98,,6,8.11,0
103,34,60,8,6,17.63,4.01
104,35,194,16,3,26.86,0.64
105,35,52,30,6,27.19,1.67
106,35,154,,2,29.46,0
107,35,72,26,4,28.76,6.79
108,36,193,8,2,6.74,1.71
109,36,139,,6,4.61,0
110,36,179,11,2,11.83,2.16
111,37,162,7,1,12.76,3.33
112,37,163,6,5,42.56,11.98
113,37,141,3,4,14.73,4.12
114,37,186,14,2,33.97,1.67
115,38,64,,2,8.4,0
116,38,70,,3,57.58,0
117,38,102,,5,39.13,0
118,38,189,,4,37.71,0
119,38,6,30,3,58.9,7.55
120,39,138,15,3,17.73,3.87
121,39,117,,3,9.3,0
122,39,35,,1,31.57,0
123,39,4,13,4,67.66,14.83
124,39,102,,6,55.01,0
125,40,19,,4,26.98,0
126,40,145,,6,10.06,0
127,40,90,,6,8.41,0
128,40,15,,2,49.63,0
129,40,123,,6,24.43,0
