transaction_id,transaction_number,store_id,employee_id,payment_method_id,transaction_timestamp
1,TXN-500001,30,149,1,2025-01-25 17:05:00
2,TXN-500002,84,126,1,2024-01-27 20:29:00
3,TXN-500003,32,12,6,2024-12-09 03:09:00
4,TXN-500004,81,45,1,2025-04-17 10:21:00
5,TXN-500005,59,25,5,2024-08-11 19:06:00
6,TXN-500006,14,17,1,2024-05-04 07:00:00
7,TXN-500007,9,57,7,2024-12-28 00:12:00
8,TXN-500008,42,103,1,2024-05-27 13:24:00
9,TXN-500009,42,36,7,2025-05-13 03:18:00
10,TXN-500010,76,12,2,2025-07-31 12:27:00
11,TXN-500011,36,,2,2024-09-01 07:21:00
12,TXN-500012,71,95,2,2025-07-05 15:08:00
13,TXN-500013,6,149,2,2024-11-15 10:09:00
14,TXN-500014,100,97,2,2024-03-13 19:03:00
15,TXN-500015,1,21,1,2024-01-12 09:09:00
16,TXN-500016,9999,73,6,2024-05-10 15:28:00
17,TXN-500017,89,122,2,2025-08-10 22:32:00
18,TXN-500018,67,70,4,2024-05-30 02:54:00
19,TXN-500019,79,45,6,2024-10-27 00:46:00
20,TXN-500020,79,128,1,2024-01-28 09:28:00
21,TXN-500021,45,78,4,2025-04-01 16:58:00
22,TXN-500022,16,50,5,2024-01-04 07:52:00
23,TXN-500023,65,139,2,2024-03-10 16:11:00
24,TXN-500024,36,54,1,2024-12-04 00:45:00
25,TXN-500025,88,39,7,2024-05-21 01:29:00
26,TXN-500026,86,41,1,2024-12-11 10:57:00
27,TXN-500027,27,73,4,2024-02-09 08:12:00
28,TXN-500028,6,117,1,2024-07-02 01:12:00
29,TXN-500029,69,,2,2025-06-23 03:43:00
30,TXN-500030,66,125,1,2024-04-25 02:02:00
31,TXN-500031,76,114,5,02/21/2024 14:21
32,TXN-500032,30,84,7,2024-08-25 08:46:00
33,TXN-500033,31,26,6,2024-03-21 04:42:00
34,TXN-500034,29,97,1,2024-10-27 10:37:00
35,TXN-500035,56,14,2,2024-12-08 23:09:00
36,TXN-500036,23,117,4,2024-06-06 09:45:00
37,TXN-500037,81,50,3,2024-09-28 23:07:00
38,TXN-500038,5,33,6,2024-07-15 09:15:00
39,TXN-500039,18,,1,2025-02-18 02:09:00
40,TXN-500040,22,108,7,2025-09-12 03:41:00
41,TXN-500041,78,76,2,2024-09-07 04:25:00
42,TXN-500042,74,44,5,2025-07-28 22:19:00
43,TXN-500043,67,106,4,2025-09-14 14:16:00
44,TXN-500044,36,119,1,2024-06-06 14:36:00
45,TXN-500045,32,64,3,2025-06-15 13:59:00
46,TXN-500046,74,39,1,2024-11-12 05:02:00
47,TXN-500047,61,11,6,2024-10-31 05:05:00
48,TXN-500048,68,109,4,2025-07-13 16:22:00
49,TXN-500049,58,26,4,2024-12-14 23:50:00
50,TXN-500050,97,,1,2024-06-24 03:14:00
51,TXN-500051,17,56,3,2025-05-19 17:50:00
52,TXN-500052,3,24,4,2024-08-03 09:18:00
53,TXN-500053,74,118,6,2025-05-02 04:14:00
54,TXN-500054,59,,4,2025-03-01 00:11:00
55,TXN-500055,24,104,7,2025-07-16 00:47:00
56,TXN-500056,81,1,1,2024-09-26 17:34:00
57,TXN-500057,68,86,1,2024-10-07 06:15:00
58,TXN-500058,90,70,5,2024-08-03 23:17:00
59,TXN-500059,88,54,1,2025-01-29 23:44:00
60,TXN-500060,66,15,6,2025-03-27 19:14:00
61,TXN-500061,50,9999,3,2024-09-22 01:11:00
62,TXN-500062,47,94,2,2024-12-04 20:37:00
63,TXN-500063,72,18,6,2025-04-16 23:38:00
64,TXN-500064,31,86,5,2025-07-17 07:12:00
65,TXN-500065,90,149,2,2024-03-23 16:33:00
66,TXN-500066,42,58,3,2025-07-02 10:39:00
67,TXN-500067,36,109,1,2024-07-13 16:25:00
68,TXN-500068,63,116,5,2024-02-16 03:27:00
69,TXN-500069,91,121,5,2025-01-18 12:26:00
70,TXN-500070,58,75,5,2025-05-08 22:17:00
71,TXN-500071,25,17,4,2024-09-25 01:48:00
72,TXN-500072,23,,3,2024-03-04 13:49:00
73,TXN-500073,15,71,6,2024-02-26 00:45:00
74,TXN-500074,67,53,6,2024-04-17 17:41:00
75,TXN-500075,17,139,4,2024-01-17 12:32:00
76,TXN-500076,38,6,2,2024-09-09 11:01:00
77,TXN-500077,30,,7,2024-02-15 20:07:00
78,TXN-500078,75,106,3,2025-01-13 09:01:00
79,TXN-500079,63,84,5,2025-04-22 12:14:00
80,TXN-500080,57,141,4,2025-04-29 20:39:00
81,TXN-500081,22,79,7,2024-08-09 10:13:00
82,TXN-500082,37,96,7,2024-07-08 07:57:00
83,TXN-500083,46,,3,2025-09-07 16:25:00
84,TXN-500084,92,42,5,2024-11-27 23:53:00
85,TXN-500085,91,45,6,2024-07-26 17:02:00
86,TXN-500086,31,42,1,2025-04-30 05:24:00
87,TXN-500087,17,148,4,2024-01-30 23:10:00
88,TXN-500088,72,53,6,2024-07-08 14:56:00
89,TXN-500089,19,89,3,2024-01-26 06:14:00
90,TXN-500090,69,42,3,2024-11-22 12:51:00
91,TXN-500091,64,104,999,2024-03-29 11:11:00
92,TXN-500092,20,82,1,2024-04-15 20:46:00
93,TXN-500093,43,130,6,2025-06-21 18:08:00
94,TXN-500094,97,75,5,2025-05-28 16:39:00
95,TXN-500095,94,145,4,2025-04-30 14:42:00
96,TXN-500096,6,123,2,2024-09-03 14:56:00
97,TXN-500097,4,79,4,2025-05-08 17:03:00
98,TXN-500098,46,115,1,2025-03-25 15:58:00
99,TXN-500099,83,,2,2024-08-25 15:40:00
100,TXN-500100,26,72,1,2025-02-28 20:12:00
101,TXN-500051,87,115,6,2024-03-01 20:49:00
102,TXN-500102,25,101,4,2024-03-04 15:01:00
103,TXN-500103,8,131,6,2024-08-19 09:13:00
104,TXN-500104,48,110,4,2024-09-19 22:03:00
105,TXN-500105,45,,3,2024-09-28 11:41:00
106,TXN-500106,12,144,2,2024-08-12 08:10:00
107,TXN-500107,57,107,3,2025-06-14 00:09:00
108,TXN-500108,94,109,4,2024-04-29 06:26:00
109,TXN-500109,19,23,2,2024-04-11 15:07:00
110,TXN-500110,43,135,1,2024-08-08 19:20:00
111,TXN-500111,1,23,4,2025-03-06 02:51:00
112,TXN-500112,23,107,5,2025-04-10 03:56:00
113,TXN-500113,26,36,2,2024-12-02 12:07:00
114,TXN-500114,63,142,1,2025-08-29 01:12:00
115,TXN-500115,39,150,4,2025-08-22 03:27:00
116,TXN-500116,4,58,7,2025-02-11 06:08:00
117,TXN-500117,82,77,7,2024-01-02 18:45:00
118,TXN-500118,54,74,2,2025-04-08 12:42:00
119,TXN-500119,4,63,1,2024-12-24 04:20:00
120,TXN-500120,77,18,6,2025-07-10 20:25:00
121,TXN-500121,56,145,7,2027-03-15 10:00:00
122,TXN-500122,89,122,7,2024-07-06 19:19:00
123,TXN-500123,3,148,7,2024-03-28 01:52:00
124,TXN-500124,19,15,3,2024-07-07 23:44:00
125,TXN-500125,46,35,2,2024-12-01 17:19:00
126,TXN-500126,82,108,3,2024-02-08 12:17:00
127,TXN-500127,82,136,1,2024-02-05 11:21:00
128,TXN-500128,98,47,1,2025-01-09 04:28:00
129,TXN-500129,42,140,7,2025-03-12 00:07:00
130,TXN-500130,35,78,6,2024-08-18 06:10:00
131,TXN-500131,69,25,5,2025-05-23 05:51:00
132,TXN-500132,18,4,5,2024-09-13 01:10:00
133,TXN-500133,53,125,3,2024-07-23 22:07:00
134,TXN-500134,65,40,2,2024-04-28 17:08:00
135,TXN-500135,79,144,6,2025-08-28 12:48:00
136,TXN-500136,92,137,5,2025-08-28 10:03:00
137,TXN-500137,54,30,4,2025-05-26 08:58:00
138,TXN-500138,3,34,4,2024-02-25 15:11:00
139,TXN-500139,18,93,7,2024-09-10 13:24:00
140,TXN-500140,98,134,3,2024-11-17 19:25:00
141,TXN-500141,96,8,7,2024-05-05 09:32:00
142,TXN-500142,89,37,2,2024-03-27 08:37:00
143,TXN-500143,11,34,4,2024-08-11 20:41:00
144,TXN-500144,10,29,1,2025-05-18 00:55:00
145,TXN-500145,6,111,2,2025-07-18 02:43:00
146,TXN-500146,85,,5,2024-03-19 12:14:00
147,TXN-500147,16,,3,2025-03-07 22:30:00
148,TXN-500148,86,,1,2024-02-01 12:23:00
149,TXN-500149,16,,5,2025-07-03 10:43:00
150,TXN-500150,24,52,6,2024-05-29 13:38:00
151,TXN-500151,19,,7,2024-09-12 23:29:00
152,TXN-500152,45,149,3,2025-06-27 08:45:00
153,TXN-500153,65,62,5,2024-04-26 21:56:00
154,TXN-500154,75,,7,2024-02-19 18:16:00
155,TXN-500155,37,50,2,2024-01-11 04:23:00
156,TXN-500156,28,26,5,2025-07-03 01:25:00
157,TXN-500157,90,94,5,2025-09-11 21:29:00
158,TXN-500158,24,28,7,2024-05-14 19:18:00
159,TXN-500159,28,109,5,2024-09-15 08:58:00
160,TXN-500160,16,81,4,2024-06-14 16:47:00
161,TXN-500161,98,127,3,2024-03-21 07:54:00
162,TXN-500162,11,11,3,2025-05-28 04:03:00
163,TXN-500163,59,73,5,2024-12-25 12:15:00
164,TXN-500164,29,114,5,2025-06-20 01:34:00
165,TXN-500165,25,110,7,2024-10-23 13:46:00
166,TXN-500166,87,122,3,2024-02-20 16:30:00
167,TXN-500167,87,,4,2024-05-10 13:26:00
168,TXN-500168,67,113,6,2025-05-04 09:43:00
169,TXN-500169,19,,4,2025-05-07 15:01:00
170,TXN-500170,95,27,2,2024-10-18 17:25:00
171,TXN-500171,44,51,2,2024-02-17 02:53:00
172,TXN-500172,16,104,2,2025-03-09 05:41:00
173,TXN-500173,36,128,7,2025-09-02 07:01:00
174,TXN-500174,97,70,7,2025-06-03 13:12:00
175,TXN-500175,46,103,4,2025-08-06 06:12:00
176,TXN-500176,63,104,5,2025-04-30 11:01:00
177,TXN-500177,14,117,1,2024-07-22 01:58:00
178,TXN-500178,81,60,2,2024-07-01 13:07:00
179,TXN-500179,7,,7,2024-01-22 15:27:00
180,TXN-500180,23,7,4,2024-02-19 16:22:00
181,TXN-500181,39,40,5,2025-03-16 05:52:00
182,TXN-500182,10,,6,2025-03-29 19:46:00
183,TXN-500183,60,127,2,2025-07-01 07:19:00
184,TXN-500184,65,126,3,2024-08-01 18:23:00
185,TXN-500185,70,139,1,2025-01-29 23:47:00
186,TXN-500186,56,,1,2025-07-10 07:15:00
187,TXN-500187,57,97,4,2024-10-06 08:25:00
188,TXN-500188,72,,6,2024-01-27 04:48:00
189,TXN-500189,63,43,4,2025-07-21 12:41:00
190,TXN-500190,63,100,7,2024-04-07 22:21:00
191,TXN-500191,85,126,5,2024-03-20 15:35:00
192,TXN-500192,61,121,5,2025-05-14 01:46:00
193,TXN-500193,51,15,3,2025-09-14 02:52:00
194,TXN-500194,79,97,6,2024-12-26 05:21:00
195,TXN-500195,42,73,1,2024-09-13 20:59:00
196,TXN-500196,47,33,3,2024-01-21 11:54:00
197,TXN-500197,98,7,6,2025-08-12 11:58:00
198,TXN-500198,45,110,3,2024-09-05 11:53:00
199,TXN-500199,32,63,2,2024-10-26 22:59:00
200,TXN-500200,89,22,1,2025-04-16 22:04:00
201,TXN-500151,3,44,5,2024-08-10 00:43:00
202,TXN-500202,85,,7,2024-08-25 11:18:00
203,TXN-500203,35,108,1,2024-11-03 15:15:00
204,TXN-500204,41,6,4,2025-05-21 18:45:00
205,TXN-500205,13,147,7,2025-02-19 07:39:00
206,TXN-500206,44,53,4,2024-12-21 14:41:00
207,TXN-500207,22,87,5,2025-01-01 02:31:00
208,TXN-500208,26,112,4,2024-08-06 02:30:00
209,TXN-500209,69,20,2,2025-04-07 17:11:00
210,TXN-500210,74,77,4,2024-07-28 05:54:00
211,TXN-500211,92,24,7,2025-08-08 21:27:00
212,TXN-500212,44,,3,2025-02-25 00:39:00
213,TXN-500213,61,136,4,2024-02-18 23:37:00
214,TXN-500214,84,20,7,2024-06-01 17:27:00
215,TXN-500215,56,77,6,2024-08-07 19:09:00
216,TXN-500216,52,107,3,2025-01-28 04:16:00
217,TXN-500217,24,141,1,2025-03-31 02:02:00
218,TXN-500218,74,48,4,2025-04-02 04:22:00
219,TXN-500219,35,120,6,2024-06-04 01:37:00
220,TXN-500220,73,112,6,2025-01-22 21:56:00
221,TXN-500221,26,,3,2025-04-01 09:23:00
222,TXN-500222,96,39,6,2024-12-02 18:32:00
223,TXN-500223,53,112,3,2025-07-11 10:36:00
224,TXN-500224,53,53,3,2025-08-27 13:02:00
225,TXN-500225,33,42,6,2025-08-22 19:23:00
226,TXN-500226,15,62,2,2025-03-13 19:17:00
227,TXN-500227,40,,4,2024-05-19 17:58:00
228,TXN-500228,55,112,6,2024-12-19 10:40:00
229,TXN-500229,18,70,1,2024-01-27 22:41:00
230,TXN-500230,85,72,5,2024-07-07 03:48:00
231,TXN-500231,93,11,4,2024-05-08 03:33:00
232,TXN-500232,11,,3,2025-07-23 14:31:00
233,TXN-500233,53,17,3,2025-03-14 01:43:00
234,TXN-500234,51,24,7,2025-05-04 02:19:00
235,TXN-500235,15,61,5,2025-06-11 08:54:00
