product_id,sku_number,product_description,brand_id,category_id,package_size,weight,weight_unit_of_measure,unit_cost
1,SKU-100001,Sugar Free Flower Bouquet,10,12,1kg,1372.84,Grams,3.0
2,SKU-100002,Whole Grain Chicken Breast,6,20,500g,1139.9,g,14.84
3,SKU-100003,Family Size Chicken Breast,,5,1kg,491.76,Grams,
4,SKU-100004,Family Size Milk Carton,,13,Twin Pack,1268.24,kg,28.99
5,SKU-100005,Diet Frozen Pizza,29,16,500g,1579.52,gr,19.41
6,SKU-100006,Deluxe Ground Beef,8,9,Family Size,-1754.53,kg,26.6
7,SKU-100007,Original Yogurt,24,8,Single,1864.42,g,4.56
8,SKU-100008,Light Chicken Breast,31,15,Single,609.41,Grams,3.78
9,SKU-100009,Sugar Free Ground Beef,,14,1kg,611.8,g,21.7
10,SKU-100010,Classic Coffee Bag,27,6,Twin Pack,617.98,Grams,1.1
11,SKU-100011,Classic Canned Corn,17,1,Single,1753.0,g,10.49
12,SKU-100012,Light Pasta Box,9,3,500g,1303.45,G,12.25
13,SKU-100013,Light Flower Bouquet,,20,350ml,1640.04,Grams,13.47
14,SKU-100014,Whole Grain Apples,32,13,350ml,1915.13,g,3.53
15,SKU-100015,Sugar Free Vitamin C Tablets,28,6,500g,689.44,g,23.85
16,SKU-100016,Original Frozen Pizza,11,1,1kg,161.85,G,17.23
17,SKU-100017,Light Frozen Pizza,5,19,1kg,1229.93,Grams,15.22
18,SKU-100018,Deluxe Ground Beef,17,15,1kg,804.63,G,13.63
19,SKU-100019,Whole Grain Frozen Pizza,19,10,Twin Pack,221.19,kg,15.07
20,SKU-100020,Fresh Frozen Pizza,9,20,Single,753.75,gr,29.19
21,SKU-100021,Light Milk Carton,23,9999,Twin Pack,1302.56,G,5.01
22,SKU-100022,Whole Grain Bread Loaf,19,9999,Family Size,371.08,G,17.96
23,SKU-100023,Family Size Coffee Bag,22,19,Single,1182.26,kg,1.39
24,SKU-100024,Deluxe Vitamin C Tablets,20,16,Twin Pack,1783.54,gr,6.52
25,SKU-100025,Whole Grain Ice Cream Tub,23,13,350ml,1232.99,g,3.36
26,SKU-100026,Original Coffee Bag,11,11,Twin Pack,615.91,G,3.16
27,SKU-100027,Light Bread Loaf,23,2,350ml,816.82,gr,8.3
28,SKU-100028,Original Frozen Pizza,,2,1kg,763.27,kg,24.85
29,SKU-100029,Fresh Ground Beef,7,13,350ml,1265.32,G,4.54
30,SKU-100030,Light Rice Bag,9,11,350ml,699.43,kg,14.95
31,SKU-100031,Light Cereal,8,14,350ml,1147.7,gr,21.78
32,SKU-100032,Family Size Rice Bag,25,6,Family Size,1187.87,g,6.51
33,SKU-100033,Fresh Pasta Box,4,5,Family Size,1028.55,gr,10.6
34,SKU-100034,Sugar Free Coffee Bag,16,9,350ml,740.86,Grams,17.03
