store_id,store_number,store_name,city,state,region_id,floor_plan_type,selling_square_footage,first_open_date
1,STR-0001,Georgetown Store #1,Riverside,CA,1,Compact,55741,2021-07-09
2,STR-0002,Springfield Store #2,Salem,FL,1,Supercenter,49439,2014-05-30
3,STR-0003,Madison Store #3,Georgetown,NY,4,Express,59565,2013-01-19
4,STR-0004,Fairview Store #4,Riverside,Texas,2,Express,23003,2020-10-20
5,STR-0005,Franklin Store #5,Franklin,CA,3,Express,24679,2009-09-13
6,STR-0006,Salem Store #6,Riverside,FL,5,Compact,35010,2023-11-27
7,STR-0007,Greenville Store #7,Fairview,CA,3,Compact,29363,2019-06-03
8,STR-0008,Franklin Store #8,Arlington,CA,3,Express,23087,2016-01-26
9,STR-0009,Salem Store #9,Georgetown,FL,999,Supercenter,55190,04/05/2005
10,STR-0010,Clinton Store #10,Salem,TX,4,Compact,39558,2016-05-21
11,STR-0011,Greenville Store #11,Riverside,TX,5,Supercenter,40153,2007-07-06
12,STR-0012,Georgetown Store #12,Greenville,CA,3,Compact,54581,2008-09-14
13,STR-0013,Springfield Store #13,Greenville,IL,1,Supercenter,-34725,2007-09-19
14,STR-0014,Fairview Store #14,Clinton,NY,4,Compact,24643,2005-09-15
15,STR-0015,Salem Store #15,Madison,CA,4,Compact,26352,2009-04-09
16,STR-0016,Clinton Store #16,Georgetown,NY,2,Express,36295,2022-12-16
17,STR-0017,Franklin Store #17,Madison,IL,5,Express,20967,2006-02-19
18,STR-0018,Madison Store #18,Fairview,IL,1,Compact,38694,2010-12-13
19,STR-0019,Franklin Store #19,Riverside,NY,1,Compact,51246,2006-02-15
20,STR-0020,Arlington Store #20,Arlington,CA,4,Express,57940,2017-10-11
21,STR-0021,Riverside Store #21,Arlington,TX,1,Supercenter,39660,2013-11-17
22,STR-0022,Franklin Store #22,Fairview,FL,5,Compact,36009,2012-10-30
23,STR-0023,Clinton Store #23,Fairview,Florida,1,Compact,27564,2008-01-06
24,STR-0024,Fairview Store #24,Salem,TX,4,Express,26048,2010-08-20
25,STR-0025,Clinton Store #25,Arlington,IL,1,Express,27331,2017-07-31
26,STR-0026,Salem Store #26,Arlington,TX,5,Supercenter,36353,2013-01-10
27,STR-0027,Greenville Store #27,Riverside,IL,5,Supercenter,46982,2021-07-09
28,STR-0028,Greenville Store #28,Fairview,CA,5,Express,34609,2011-11-06
29,STR-0029,Franklin Store #29,Springfield,FL,4,Express,27559,2012-06-05
30,STR-0030,Greenville Store #30,Georgetown,TX,4,Compact,45244,2016-06-21
31,STR-0031,Fairview Store #31,Georgetown,CA,9999,Compact,40572,2006-07-28
32,STR-0032,Fairview Store #32,Springfield,CA,2,Supercenter,31405,2019-12-01
33,STR-0033,Franklin Store #33,Clinton,FL,2,Supercenter,34005,2014-11-29
34,STR-0034,Arlington Store #34,Georgetown,TX,1,Compact,23028,04/22/2008
35,STR-0035,Greenville Store #35,Madison,IL,4,Supercenter,26985,2008-04-23
36,STR-0036,Georgetown Store #36,Franklin,CA,999,Express,49004,2017-07-15
37,STR-0037,Fairview Store #37,Salem,TX,5,Compact,37996,2019-01-22
38,STR-0038,Georgetown Store #38,Madison,CA,1,Supercenter,34021,2020-07-25
39,STR-0039,Georgetown Store #39,Clinton,FL,5,Supercenter,20386,2013-07-14
40,STR-0040,Georgetown Store #40,Franklin,TX,4,Supercenter,42028,2005-08-26
41,STR-0041,Franklin Store #41,Georgetown,FL,1,Express,28893,2019-06-02
42,STR-0042,Springfield Store #42,Riverside,IL,5,Supercenter,50822,2010-08-29
43,STR-0043,Arlington Store #43,Fairview,NY,1,Compact,51035,2010-05-09
44,STR-0044,Georgetown Store #44,Riverside,NY,4,Compact,21682,2007-06-05
45,STR-0045,Georgetown Store #45,Clinton,TX,1,Express,22691,2022-11-10
46,STR-0046,Fairview Store #46,Madison,IL,5,Compact,48540,2020-11-12
47,STR-0047,Arlington Store #47,Springfield,TX,5,Express,35981,2011-04-04
48,STR-0048,Clinton Store #48,Greenville,CA,1,Compact,59069,2012-08-20
49,STR-0049,Riverside Store #49,Georgetown,FL,2,Compact,49371,2019-06-28
50,STR-0050,Madison Store #50,Fairview,IL,1,Compact,56070,2012-09-17
51,STR-0011,Clinton Store #51,Riverside,NY,2,Supercenter,51732,2009-04-19
52,STR-0052,Fairview Store #52,Riverside,TX,4,Express,22982,2007-11-03
